County,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ellis ,3.90%,3.50%,3.90%,5.10%,4.50%,2.70%,2.70%,3.50%,3.00%,2.80%,3.00%,2.80%,2.50%,2.20%,4.80%,4.40%,3.30%,2.90%,3.20%,3.00%,4.10%,3.90%
Garfield ,3.70%,3.50%,3.30%,3.70%,3.20%,2.80%,3.10%,3.60%,4.20%,3.70%,3.60%,3.10%,2.90%,2.60%,4.60%,4.90%,4.10%,4.10%,4.20%,3.60%,3.90%,4.30%
Garvin ,5.20%,5.10%,5.30%,6.90%,6.20%,3.50%,3.70%,4.80%,5.00%,4.30%,4.10%,3.70%,3.30%,3.00%,5.90%,6.20%,4.90%,5.00%,5.00%,4.10%,4.70%,5.40%
Grady ,5.20%,4.70%,4.40%,5.40%,4.50%,2.90%,3.30%,4.10%,4.90%,4.60%,4.60%,5.00%,4.40%,4.00%,7.50%,6.80%,5.80%,4.80%,4.80%,4.00%,4.50%,5.00%
Grant ,2.80%,2.80%,2.80%,2.70%,2.70%,2.50%,2.80%,3.50%,3.80%,3.60%,3.70%,3.80%,3.30%,2.50%,4.00%,4.20%,3.70%,3.40%,3.40%,2.70%,2.90%,3.30%
Greer ,3.50%,2.60%,2.90%,3.90%,3.20%,4.00%,4.30%,5.20%,6.90%,6.50%,5.70%,5.00%,4.90%,4.30%,8.00%,8.70%,7.70%,5.50%,5.50%,4.70%,5.60%,7.50%
Harmon ,3.40%,4.50%,5.20%,5.00%,3.50%,2.80%,3.40%,4.30%,4.10%,3.60%,3.90%,3.60%,3.50%,3.40%,5.60%,5.50%,5.30%,4.70%,4.40%,4.10%,3.40%,3.90%
Harper ,3.30%,3.00%,3.20%,3.30%,3.30%,2.10%,2.90%,3.40%,3.70%,3.10%,3.00%,3.20%,2.80%,2.30%,4.10%,4.20%,3.60%,3.20%,3.40%,2.80%,3.00%,3.90%
Haskell ,12.20%,11.40%,10.40%,11.60%,7.10%,4.40%,4.20%,5.50%,6.70%,5.60%,4.60%,4.30%,4.10%,3.70%,8.00%,7.80%,7.20%,8.70%,8.90%,7.20%,7.90%,8.40%
Hughes ,9.00%,8.40%,7.30%,8.30%,8.00%,5.20%,5.50%,7.30%,9.60%,8.70%,7.30%,6.20%,6.10%,5.40%,10.60%,10.70%,9.60%,8.00%,8.10%,7.00%,7.50%,7.50%
Jackson ,5.40%,4.20%,4.50%,4.70%,3.40%,3.00%,3.20%,3.70%,3.80%,3.90%,3.90%,3.40%,3.40%,3.20%,5.20%,5.50%,5.30%,5.10%,5.40%,4.40%,4.00%,4.50%
Jefferson ,5.00%,3.90%,3.80%,4.80%,3.80%,3.60%,4.30%,6.10%,6.50%,6.00%,5.20%,4.50%,4.90%,4.20%,8.60%,8.20%,7.00%,5.00%,5.40%,4.70%,5.70%,7.20%
Johnston ,4.80%,6.00%,7.40%,6.30%,4.20%,3.60%,4.80%,4.80%,5.40%,5.90%,4.70%,4.40%,4.30%,4.30%,7.80%,7.70%,6.40%,7.60%,8.10%,7.00%,6.50%,5.90%
Kay ,7.20%,6.40%,7.10%,7.40%,6.80%,4.30%,4.10%,5.80%,6.90%,6.20%,5.70%,4.90%,4.20%,3.50%,7.80%,8.40%,7.20%,7.00%,6.90%,5.70%,5.70%,6.40%
Kingfisher ,3.00%,3.00%,2.90%,3.00%,2.80%,2.20%,2.40%,3.30%,3.40%,3.30%,3.30%,2.80%,2.60%,2.30%,4.60%,4.80%,3.80%,3.40%,3.50%,3.10%,3.10%,3.40%
Kiowa ,3.20%,4.30%,4.90%,4.70%,3.50%,2.80%,3.30%,3.90%,5.00%,4.70%,4.70%,4.80%,4.40%,3.80%,6.50%,6.40%,5.70%,4.70%,4.90%,4.10%,4.60%,5.40%
Latimer ,10.80%,9.00%,9.90%,13.70%,8.40%,4.80%,4.90%,7.30%,6.80%,5.90%,5.70%,5.10%,5.00%,4.30%,11.20%,10.60%,10.90%,8.60%,9.00%,7.50%,8.10%,8.80%
Le Flore ,7.30%,6.90%,7.00%,7.60%,5.60%,4.30%,5.20%,6.20%,6.70%,5.70%,5.10%,5.20%,5.60%,5.20%,10.20%,9.90%,9.40%,8.70%,9.10%,7.00%,6.90%,7.00%
Lincoln ,4.20%,4.80%,5.10%,5.00%,4.30%,3.00%,3.90%,5.00%,5.50%,5.00%,4.80%,4.20%,4.20%,4.00%,7.40%,6.90%,5.90%,5.00%,5.20%,4.50%,4.60%,5.30%
Logan ,3.30%,3.00%,3.20%,3.70%,2.60%,2.50%,2.90%,3.50%,4.40%,4.00%,3.90%,3.80%,3.90%,3.60%,5.90%,6.10%,5.20%,4.40%,4.60%,4.00%,3.80%,4.10%
Love ,6.40%,4.70%,4.20%,5.00%,4.10%,3.60%,3.90%,4.50%,5.00%,6.20%,4.30%,3.60%,3.10%,2.90%,5.40%,5.00%,4.50%,4.30%,4.40%,3.60%,3.50%,3.20%
Major,2.90%,3.30%,3.20%,3.60%,3.20%,2.40%,2.80%,3.40%,3.60%,3.30%,3.30%,2.90%,2.80%,2.30%,4.70%,4.60%,3.80%,3.50%,3.40%,2.60%,3.30%,4.20%
Marshall,5.50%,4.70%,5.00%,5.80%,4.30%,3.80%,4.20%,4.90%,5.00%,5.00%,4.90%,4.20%,4.40%,4.00%,8.50%,7.20%,6.30%,5.90%,5.80%,4.80%,5.40%,5.10%
Mayes,5.20%,4.50%,4.80%,4.60%,4.20%,3.40%,4.20%,7.10%,7.70%,6.10%,5.00%,4.40%,4.30%,4.20%,8.90%,8.90%,7.80%,6.10%,5.90%,4.90%,4.30%,5.20%
McClain ,3.60%,3.50%,3.00%,3.30%,2.40%,2.60%,3.60%,4.50%,4.90%,4.50%,4.20%,3.80%,3.80%,3.60%,5.90%,6.10%,5.30%,4.20%,4.40%,3.70%,3.70%,4.20%
McCurtain ,9.20%,9.50%,9.40%,8.30%,6.80%,4.80%,5.30%,6.80%,9.20%,7.70%,6.70%,6.30%,6.40%,6.60%,10.90%,10.80%,9.90%,9.50%,9.40%,8.00%,7.90%,7.20%
McIntosh ,8.70%,7.80%,7.20%,8.20%,6.40%,4.60%,5.00%,6.40%,7.70%,6.90%,5.90%,5.30%,5.40%,4.80%,8.30%,9.10%,8.90%,9.90%,9.50%,8.90%,8.60%,9.00%
Murray ,6.70%,6.80%,7.20%,6.90%,6.60%,3.50%,4.10%,5.00%,5.30%,4.60%,3.80%,3.10%,2.90%,2.70%,4.40%,4.40%,3.60%,4.60%,5.10%,4.20%,4.20%,4.50%
Muskogee,6.80%,5.90%,6.20%,6.60%,4.50%,3.90%,4.30%,5.40%,7.30%,7.10%,6.00%,5.30%,5.50%,4.70%,7.90%,8.00%,7.40%,6.70%,6.50%,5.80%,5.10%,5.50%
Noble ,3.60%,3.40%,3.50%,3.40%,2.50%,2.30%,3.90%,4.60%,4.40%,4.00%,3.90%,3.60%,3.40%,3.30%,8.10%,6.20%,4.80%,4.40%,4.50%,3.70%,3.50%,3.70%
Nowata ,6.40%,7.80%,5.20%,5.60%,5.10%,3.50%,4.30%,5.80%,6.30%,5.90%,5.20%,4.70%,5.00%,4.30%,9.10%,8.90%,7.90%,6.80%,6.80%,6.10%,5.70%,6.20%
Okfuskee ,6.50%,5.80%,5.40%,7.00%,6.00%,3.90%,4.20%,5.80%,8.40%,8.80%,7.20%,5.70%,5.00%,4.20%,8.40%,9.40%,8.50%,7.60%,7.10%,6.00%,5.80%,6.20%
Oklahoma ,3.90%,3.70%,3.60%,3.80%,2.90%,2.90%,3.90%,4.80%,5.60%,4.90%,4.70%,4.30%,4.40%,3.90%,6.40%,6.90%,6.10%,4.80%,4.90%,4.20%,3.90%,4.30%
Okmulgee ,10.50%,8.90%,8.60%,9.30%,7.50%,4.50%,4.70%,6.00%,7.90%,7.30%,6.40%,5.60%,5.50%,5.30%,9.50%,10.20%,9.70%,8.00%,7.70%,6.70%,6.60%,7.20%
Osage ,3.80%,3.60%,4.20%,3.90%,3.80%,3.20%,3.40%,5.20%,6.30%,5.40%,4.80%,4.30%,4.20%,4.20%,7.90%,8.10%,7.40%,6.00%,5.90%,5.20%,5.20%,5.80%
Ottawa ,6.20%,6.80%,7.30%,7.00%,5.10%,4.60%,5.60%,7.10%,7.50%,6.00%,5.10%,4.80%,4.90%,4.20%,6.50%,6.40%,6.00%,7.70%,8.00%,6.60%,5.10%,5.10%
