Sector,Tulsa County,State
Healthcare & Social Services,15,14
Retail, 12,11
Manufacturing,11,9
Administration & Support,9,7
Hotel & Food,9,9
FGambling & Casinos,2,10
FTechnology & Innovation,15,4
FGovernment,5,6
