Ethnicity,State,Adair County,Alfalfa County,Atoka County,Beaver County,Beckham County,Blaine County,Bryan County,Caddo County,Canadian County,Carter County,Cherokee County,Choctaw County,Cimarron County,Cleveland County,Coal County,Comanche County,Cotton County,Craig County,Creek County,Custer County,Delaware County,Dewey County,Ellis County,Garfield County,Garvin County,Grady County,Grant County,Greer County,Harmon County,Harper County,Haskell County,Hughes County,Jackson County,Jefferson County,Johnston County,Kay County,Kingfisher County,Kiowa County,Latimer County,Le Flore County,Lincoln County,Logan County,Love County,Major County,Marshall County,Mayes County,McClain County,McCurtain County,McIntosh County,Murray County,Muskogee County,Noble County,Nowata County,Okfuskee County,Oklahoma County,Okmulgee County,Osage County,Ottawa County,Pawnee County,Payne County,Pittsburg County,Pontotoc County,Pottawatomie County,Pushmataha County,Roger Mills County,Rogers County,Seminole County,Sequoyah County,Stephens County,Texas County,Tillman County,Tulsa County,Wagoner County,Washington County,Washita County,Woods County,Woodward County
White,80,54,92,80,83,91,83,79,69,87,81,61,72,91,86,82,71,87,74,85,90,75,99,98,87,90,91,95,81,74,97,81,73,76,87,90,87,86,84,79,84,90,86,88,93,81,86,90,74,79,88,68,90,78,77,75,77,73,82,87,86,85,88,81,85,98,84,73,77,89,66,77,78,85,84,97,94,96
Native American,13,54,19,20,1,8,11,20,29,7,14,43,22,3,8,24,10,16,27,16,10,31,9,5,5,12,10,5,6,3,2,23,25,5,10,23,14,6,9,29,18,11,6,11,4,15,30,11,22,25,18,25,13,27,26,7,24,21,26,18,9,22,25,18,23,9,20,25,30,9,4,6,11,17,15,7,4,6
Hispanic/Latino,10,6,5,3,22,14,10,6,12,8,7,7,4,21,8,4,12,7,3,4,17,4,6,7,11,8,5,5,11,27,21,4,5,23,10,5,7,15,11,3,7,3,6,14,9,17,3,8,6,3,6,6,3,3,4,16,4,3,5,3,5,5,5,5,3,7,4,5,4,7,45,25,12,6,6,10,6,12
Black,9,1,5,6,0,5,6,2,4,4,9,3,14,1,6,2,21,4,5,3,4,1,1,1,5,4,4,2,9,10,1,1,7,9,2,3,3,2,5,2,3,3,10,3,1,2,1,1,11,5,2,13,2,3,9,18,11,13,2,2,5,5,4,4,2,0,2,6,3,3,4,10,12,5,3,1,4,1
Asian,3,1,0,1,0,1,0,1,1,4,1,1,0,0,5,1,4,1,1,1,2,1,0,1,2,1,1,0,0,3,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,1,5,1,1,1,1,0,2,1,1,1,3,0,3,2,2,0,2,1
